Year,State,City by state,Population,Crime Index total,Modified Crime Index total1,Murder      and non-negligent         man-     slaughter,Forcible rape,Robbery,Aggravated assault,Burglary,Larceny-theft,Motor vehicle theft,Arson1,,,,,,,
2001,,,, , , ,,,,,,,,,,,,,,
"2,001 ",,, , , , ,,,,,,,,,,,,,,
2001,ALABAMA2,Alabaster,"22,707",246,,2,1,11,15,23,175,19,,,,,,,,
2001,ALABAMA2,Alexander City,"15,066","1,065",,0,10,5,73,140,815,22,,,,,,,,
2001,ALABAMA2,Anniston,"24,370","3,531",,8,37,144,349,871,"1,920",202,,,,,,,,
2001,ALABAMA2,Athens,"19,041",656,,0,3,15,9,77,518,34,,,,,,,,
2001,ALABAMA2,Auburn,"43,154","2,196",,2,10,32,107,412,"1,534",99,,,,,,,,
2001,ALABAMA2,Birmingham,"243,762","21,085","21,336",73,206,"1,084","1,664","4,079","11,928","2,051",251,, ,,,,,
2001,ALABAMA2,Daphne,"16,645",525,,0,4,4,9,49,437,22,,,,,,,,
2001,ALABAMA2,Dothan,"57,961","3,105",,3,43,83,58,562,"2,239",117,,,,,,,,
2001,ALABAMA2,Enterprise,"21,260","1,018",,1,10,23,55,198,693,38,,,,,,,,
2001,ALABAMA2,Eufaula,"13,962",751,,2,5,21,19,89,591,24,,,,,,,,
2001,ALABAMA2,Fairfield,"12,429","1,759",,12,3,83,58,249,"1,160",194,,,,,,,,
2001,ALABAMA2,Florence,"36,405","1,819","1,830",2,12,36,103,376,"1,237",53,11,,,,,,,
2001,ALABAMA2,Fort Payne,"12,988",592,,1,3,4,14,89,477,4,,,,,,,,
2001,ALABAMA2,Gardendale,"11,671",432,,0,2,8,21,42,331,28,,,,,,,,
2001,ALABAMA2,Hartselle,"12,066",398,,0,1,2,2,74,308,11,,,,,,,,
2001,ALABAMA2,Helena,"10,336",100,,0,1,1,8,18,70,2,,,,,,,,
2001,ALABAMA2,Homewood,"25,140","1,845",,0,10,54,41,205,"1,440",95,,,,,,,,
2001,ALABAMA2,Hueytown,"15,424",626,,1,1,15,29,115,419,46,,,,,,,,
2001,ALABAMA2,Huntsville,"158,830","11,413","11,454",15,109,345,570,"1,802","7,802",770,41,,,,,,,
2001,ALABAMA2,Leeds,"10,496",528,,1,3,16,26,61,400,21,,,,,,,,
2001,ALABAMA2,Madison,"29,443",915,,1,8,15,37,154,656,44,,,,,,,,
2001,ALABAMA2,Millbrook,"10,426",378,,2,3,13,2,168,176,14,,,,,,,,
2001,ALABAMA2,Mobile3,"255,551","19,875","19,967",42,95,840,552,"4,653","12,284","1,409",92,,,,,,,
2001,ALABAMA2,Montgomery,"202,350","15,791",,26,102,652,676,"3,252","9,928","1,155",,,, ,,,,
2001,ALABAMA2,Mountain Brook,"20,684",414,,0,0,3,6,66,330,9,,,,,,,,
2001,ALABAMA2,Muscle Shoals,"11,970",522,,0,0,4,5,81,432,0,,,,,,,,
2001,ALABAMA2,Oxford,"14,649","1,444",,1,9,38,82,184,"1,032",98,,,,,,,,
2001,ALABAMA2,Ozark,"15,178",790,,2,4,9,45,117,579,34,,,,,,,,
2001,ALABAMA2,Pelham,"14,425",413,,0,3,8,10,32,339,21,,,,,,,,
2001,ALABAMA2,Phenix City,"28,375","1,331",,2,4,37,109,318,729,132,,,,,,,,
2001,ALABAMA2,Prattville,"24,397","1,524",,2,7,27,111,205,"1,110",62,,,,,,,,
2001,ALABAMA2,Prichard,"28,744","3,484",,9,12,214,292,"1,204","1,404",349,,,,,,,,
2001,ALABAMA2,Saraland,"12,336",694,,1,2,12,10,105,511,53,,,,,,,,
2001,ALABAMA2,Scottsboro,"14,819",642,,5,2,9,42,99,457,28,,,,,,,,
2001,ALABAMA2,Sylacauga,"12,665",800,,2,4,8,41,120,610,15,,,,,,,,
2001,ALABAMA2,Troy,"13,989",951,,1,5,24,75,130,680,36,,,,,,,,
2001,ALABAMA2,Trussville,"12,974",634,,0,3,10,12,56,519,34,,,,,,,,
2001,ALABAMA2,Tuscaloosa,"78,208","6,428",,6,50,222,592,"1,348","3,948",262,,,,,,,,
2001,ALABAMA2,Tuskegee,"11,892",849,,2,3,22,26,266,490,40,,,,,,,,
2001,ALABAMA2,Vestavia Hills,"24,571",290,,0,2,8,13,46,198,23,,,,,,,,
"2,001 ",,,, ,, ,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,
"2,001 ",,,,,,,,,,,,,,,,,,,,
2001,ALASKA,Anchorage,"263,588","13,214","13,317",10,210,384,"1,144","1,606","8,648","1,212",103,,,,,,,
2001,ALASKA,Fairbanks,"30,608","1,597","1,605",3,56,30,125,207,974,202,8,,,,,,,
"2,001 ",,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,
"2,001 ",,,, ,,,,,,,,,,,,,,,,
2001,ARIZONA,Apache Junction,"32,910","1,611","1,616",0,19,12,63,431,893,193,5,,,,,,,
2001,ARIZONA,Bullhead City,"34,932","1,737","1,747",2,11,27,153,427,"1,007",110,10,,,,,,,
2001,ARIZONA,Casa Grande,"26,093","2,332","2,348",2,2,32,140,607,"1,373",176,16,,,,,,,
2001,ARIZONA,Douglas,"14,805",663,664,1,2,4,29,108,452,67,1,,,,,,,
2001,ARIZONA,Flagstaff,"54,716","4,892","4,913",2,23,59,362,532,"3,674",240,21,,,,,,,
2001,ARIZONA,Gilbert,"113,475","4,651","4,687",0,21,46,62,"1,464","2,663",395,36,,,,,,,
2001,ARIZONA,Glendale,"226,348","14,410","14,482",17,66,426,705,"2,509","7,531","3,156",72,,,,,,,
2001,ARIZONA,Goodyear,"19,562",990,993,0,3,12,39,440,398,98,3,,,,,,,
2001,ARIZONA,Kingman,"20,760","1,969","1,978",1,5,13,57,375,"1,412",106,9,,,,,,,
2001,ARIZONA,Lake Havasu City,"43,382","1,434","1,441",1,0,5,57,228,"1,039",104,7,,,,,,,
2001,ARIZONA,Marana,"14,023","1,060","1,061",1,6,10,36,108,783,116,1,,,,,,,
2001,ARIZONA,Mesa,"410,026","27,508","27,543",17,106,452,"1,941","4,313","16,121","4,558",35,,,,,,,
2001,ARIZONA,Nogales,"21,597",832,834,1,0,7,63,88,534,139,2,,,,,,,
2001,ARIZONA,Oro Valley,"30,723",494,496,1,0,3,9,44,414,23,2,,,,,,,
2001,ARIZONA,Paradise Valley,"14,135",566,566,0,0,4,15,323,176,48,0,,,,,,,
2001,ARIZONA,Payson,"14,089",576,580,1,9,3,24,118,392,29,4,,,,,,,
2001,ARIZONA,Peoria,"112,096","5,332","5,347",3,22,73,242,"1,102","3,018",872,15,,,,,,,
2001,ARIZONA,Phoenix,"1,366,542","104,975","105,396",209,400,"4,629","5,294","16,673","55,190","22,580",421,,,,,,,
2001,ARIZONA,Prescott,"35,107","1,870","1,887",1,8,14,99,307,"1,333",108,17,,,,,,,
2001,ARIZONA,Prescott Valley,"24,346",750,753,1,5,6,69,122,515,32,3,,,,,,,
2001,ARIZONA,Scottsdale,"209,686","9,905","9,963",10,58,196,355,"2,660","5,251","1,375",58,,,,,,,
2001,ARIZONA,Sedona,"10,543",355,355,0,4,6,10,61,256,18,0,,,,,,,
2001,ARIZONA,Sierra Vista,"39,076","1,509","1,520",0,4,18,68,228,"1,085",106,11,,,,,,,
2001,ARIZONA,Surprise,"31,910","1,007","1,011",1,1,7,63,205,648,82,4,,,,,,,
2001,ARIZONA,Tempe,"164,088","16,534","16,571",5,72,327,533,"2,273","10,497","2,827",37,,,,,,,
2001,ARIZONA,Tucson,"503,461","49,757","50,112",42,321,"1,698","2,762","6,553","31,217","7,164",355,,,,,,,
2001,ARIZONA,Yuma,"80,185","3,473","3,506",1,24,41,326,639,"2,081",361,33,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,
2001,,,, ,, ,,,,,,,,,,,,,,
2001,ARKANSAS,,,,,,,,,,,,,,,,,,,
