Year,State,City by state,Population,Crime Index,Modified Crime Index1,Murder      and non-negligent         man-     slaughter,Forcible rape,Robbery,Aggravated assault,Burglary,Larceny-theft,Motor vehicle theft,Arson1
"2,002",,,,,,,,,,,,,
"2,002",,,, , , ,,,,,,,
"2,002",,, , , , ,,,,,,,
"2,002",ALABAMA,Abbeville,"3,014",97,,0,3,1,11,14,63,5,
"2,002",ALABAMA,Adamsville,"5,009",334,,1,4,5,26,42,225,31,
"2,002",ALABAMA,Aliceville,"2,590",1,,1,0,0,0,0,0,0,
"2,002",ALABAMA,Andalusia,"8,872",617,,4,12,7,25,123,420,26,
"2,002",ALABAMA,Arab,"7,237",606,,0,1,1,1,111,462,30,
"2,002",ALABAMA,Ardmore,"1,043",23,,0,0,1,2,9,9,2,
"2,002",ALABAMA,Ashford,"1,869",38,,0,0,0,0,16,18,4,
"2,002",ALABAMA,Ashland,"1,983",4,,0,0,1,0,2,1,0,
"2,002",ALABAMA,Atmore,"7,744",601,,0,3,20,75,103,381,19,
"2,002",ALABAMA,Attalla,"6,650",349,,0,1,5,66,42,228,7,
"2,002",ALABAMA,Autaugaville,827,4,,0,0,0,0,3,1,0,
"2,002",ALABAMA,Baker Hill,355,15,,0,0,0,4,2,9,0,
"2,002",ALABAMA,Bayou La Batre,"2,333",437,,0,3,9,19,112,255,39,
"2,002",ALABAMA,Bear Creek,"1,062",26,26,0,0,0,7,4,13,2,0
"2,002",ALABAMA,Berry,"1,249",1,,0,0,0,0,0,1,0,
"2,002",ALABAMA,Blountsville,"1,784",9,,0,0,0,0,6,3,0,
"2,002",ALABAMA,Boaz,"7,476",510,,0,2,3,21,62,404,18,
"2,002",ALABAMA,Brantley,929,3,,0,0,0,1,0,2,0,
"2,002",ALABAMA,Brent,"4,060",57, ,0,0,2,4,6,41,4,
"2,002",ALABAMA,Brewton,"5,547",381,,0,3,8,62,53,247,8,
"2,002",ALABAMA,Bridgeport,"2,752",132,,1,1,1,7,18,93,11,
"2,002",ALABAMA,Brilliant,769,1,,0,0,0,0,1,0,0,
"2,002",ALABAMA,Butler,"1,970",34,,0,0,0,0,19,14,1,
"2,002",ALABAMA,Calera,"3,185",235,,0,1,6,32,33,155,8,
"2,002",ALABAMA,Camden,"2,277",69,,0,0,0,9,26,31,3,
"2,002",ALABAMA,Camp Hill,"1,284",51,,0,0,2,4,19,23,3,
"2,002",ALABAMA,Carbon Hill,"2,089",92,,0,0,2,2,17,60,11,
"2,002",ALABAMA,Centre,"3,245",118,,0,0,1,2,45,62,8,
"2,002",ALABAMA,Centreville,"2,488",56, ,0,0,0,19,7,28,2,
"2,002",ALABAMA,Chatom,"1,204",29,,0,0,0,2,8,18,1,
"2,002",ALABAMA,Cherokee,"1,248",15,,0,0,1,2,7,4,1,
"2,002",ALABAMA,Childersburg,"4,970",364,,0,3,10,18,58,265,10,
"2,002",ALABAMA,Clanton,"7,869",236,,0,0,8,49,22,140,17,
"2,002",ALABAMA,Clayton,"1,488",7,,0,0,0,2,2,3,0,
"2,002",ALABAMA,Collinsville,"1,659",61,,0,0,0,2,26,29,4,
"2,002",ALABAMA,Columbiana,"3,345",148,,0,3,0,16,23,104,2,
"2,002",ALABAMA,Coosada,"1,394",4,,0,0,0,0,3,1,0,
"2,002",ALABAMA,Cordova,"2,445",165,165,0,1,1,12,43,103,5,0
"2,002",ALABAMA,Courtland,776,18,18,0,0,0,0,4,13,1,0
"2,002",ALABAMA,Creola,"2,020",109,,0,1,0,11,30,59,8,
"2,002",ALABAMA,Dadeville,"3,241",270,,0,1,5,27,31,191,15,
"2,002",ALABAMA,Daleville,"4,694",71,,0,2,6,2,29,31,1,
"2,002",ALABAMA,Dauphin Island,"1,383",16,,0,0,0,2,8,6,0,
"2,002",ALABAMA,Demopolis,"7,607",552,,0,4,13,78,106,349,2,
"2,002",ALABAMA,East Brewton,"2,518",61,,0,0,1,3,10,43,4,
"2,002",ALABAMA,Eclectic,"1,046",44,,0,0,0,6,5,32,1,
"2,002",ALABAMA,Elba,"4,223",123,,0,1,3,3,42,68,6,
"2,002",ALABAMA,Elberta,557,106,,0,0,0,9,19,64,14,
"2,002",ALABAMA,Eutaw,"1,894",104,,1,0,1,6,23,70,3,
"2,002",ALABAMA,Evergreen,"3,662",146, ,0,2,0,16,25,101,2,
"2,002",ALABAMA,Falkville,"1,213",44,,0,0,0,0,10,31,3,
"2,002",ALABAMA,Flomaton,"1,602",59,,0,0,0,6,10,42,1,
"2,002",ALABAMA,Florala,"1,982",42,,0,0,0,4,12,22,4,
"2,002",ALABAMA,Foley,"7,657",912,912,1,5,10,46,146,688,16,0
"2,002",ALABAMA,Frisco City,"1,473",64,64,0,0,1,8,12,35,8,0
"2,002",ALABAMA,Fultondale,"6,653",273, ,0,2,6,16,62,171,16,
"2,002",ALABAMA,Geneva,"4,427",116,,0,1,4,9,28,67,7,
"2,002",ALABAMA,Glencoe,"5,197",151,,0,1,0,0,58,87,5,
"2,002",ALABAMA,Goodwater,"1,647",59,,0,0,1,4,5,47,2,
"2,002",ALABAMA,Gordo,"1,692",43,,0,0,0,7,11,23,2,
"2,002",ALABAMA,Grant,671,17,,0,0,0,1,2,14,0,
"2,002",ALABAMA,Graysville,"2,364",110,,0,1,1,7,13,82,6,
"2,002",ALABAMA,Greenville,"7,292",566,566,0,0,24,28,120,373,21,0
"2,002",ALABAMA,Guin,"2,410",40,,0,1,0,10,5,18,6,
"2,002",ALABAMA,Gulf Shores,"5,089",460,460,3,11,4,40,95,293,14,0
"2,002",ALABAMA,Guntersville,"7,460",791,,1,11,12,62,153,516,36,
"2,002",ALABAMA,Gurley,883,17,,0,0,0,0,5,8,4,
"2,002",ALABAMA,Hackleburg,"1,540",0,,0,0,0,0,0,0,0,
"2,002",ALABAMA,Hamilton,"6,846",218,,0,3,0,4,63,133,15,
"2,002",ALABAMA,Hartford,"2,390",112,,0,1,1,17,15,74,4,
"2,002",ALABAMA,Hayneville,"1,188",62,,0,1,1,6,24,28,2,
"2,002",ALABAMA,Headland,"3,554",104,,0,2,2,18,25,50,7,
"2,002",ALABAMA,Heflin,"3,029",80,,1,0,2,4,9,57,7,
"2,002",ALABAMA,Hobson City,885,3,,1,0,0,2,0,0,0,
"2,002",ALABAMA,Hokes Bluff,"4,185",47,,0,0,0,1,5,37,4,
"2,002",ALABAMA,Hollywood,959,5,,0,0,0,0,0,5,0,
"2,002",ALABAMA,Hurtsboro,597,1,,0,0,0,1,0,0,0,
"2,002",ALABAMA,Ider,670,20,,0,0,0,0,5,14,1,
"2,002",ALABAMA,Irondale,"9,900",398,,0,5,21,16,19,296,41,
"2,002",ALABAMA,Jackson,"5,467",325,,0,4,4,18,55,237,7,
"2,002",ALABAMA,Jacksonville,"8,478",691,691,0,6,19,60,133,462,11,0
"2,002",ALABAMA,Killen,"1,128",87,,0,0,0,7,8,71,1,
"2,002",ALABAMA,Lafayette,"3,263",256,258,0,2,8,45,32,162,7,2
"2,002",ALABAMA,Lanett,"7,967",635,,2,11,14,56,143,383,26,
"2,002",ALABAMA,Level Plains,"1,558",60,,0,0,1,6,11,36,6,
"2,002",ALABAMA,Lexington,847,21,,0,0,0,2,8,11,0,
"2,002",ALABAMA,Linden,"2,446",40,,0,0,0,2,4,27,7,
"2,002",ALABAMA,Lineville,"2,423",69,,0,0,2,3,9,55,0,
"2,002",ALABAMA,Lipscomb,"2,480",0,,0,0,0,0,0,0,0,
"2,002",ALABAMA,Littleville,987,50,,0,1,1,2,14,27,5,
"2,002",ALABAMA,Livingston,"3,326",196,,1,1,3,3,26,155,7,
"2,002",ALABAMA,Lockhart,553,11,,0,0,0,4,1,6,0,
"2,002",ALABAMA,Louisville,617,17,,0,0,0,6,6,4,1,
"2,002",ALABAMA,Loxley,"1,360",179,,0,1,1,5,33,124,15,
"2,002",ALABAMA,Luverne,"2,658",85,,0,2,1,4,14,61,3,
"2,002",ALABAMA,McIntosh,246,25,,2,0,0,0,8,11,4,
"2,002",ALABAMA,McKenzie,650,14,,0,0,0,2,3,8,1,
"2,002",ALABAMA,Midfield,"5,676",498,,4,4,19,34,89,276,72,
"2,002",ALABAMA,Midland City,"1,718",97,,0,0,1,24,10,60,2,
"2,002",ALABAMA,Millry,620,16,,0,0,2,2,5,6,1,
"2,002",ALABAMA,Monroeville,"6,923",480,,1,6,5,106,65,263,34,
"2,002",ALABAMA,Moody,"8,124",263,,0,0,8,6,41,189,19,
"2,002",ALABAMA,Morris,"1,843",15,,0,0,0,0,2,12,1,
"2,002",ALABAMA,Moulton,"3,289",111,,0,0,0,14,12,82,3,
"2,002",ALABAMA,Moundville,"1,825",57,,0,2,0,17,11,25,2,
"2,002",ALABAMA,Mount Vernon,851,40,,0,0,3,9,4,24,0,
"2,002",ALABAMA,Napier Field,408,7,,0,0,0,2,0,3,2,
"2,002",ALABAMA,New Brockton,"1,261",4,,0,0,0,3,1,0,0,
"2,002",ALABAMA,New Hope,"2,561",51,,0,0,0,6,7,34,4,
"2,002",ALABAMA,Notasulga,924,7,,0,1,0,0,3,2,1,
"2,002",ALABAMA,Oneonta,"5,625",204,204,0,2,1,6,20,163,12,0
"2,002",ALABAMA,Opp,"6,665",331,,0,3,7,31,52,226,12,
"2,002",ALABAMA,Owens Crossroads,"1,134",26,26,0,0,0,1,3,21,1,0
"2,002",ALABAMA,Parrish,"1,279",94,,0,0,1,8,40,34,11,
"2,002",ALABAMA,Pennington,356,13,,0,0,0,2,3,8,0,
"2,002",ALABAMA,Phil Campbell,"1,100",6,,0,0,0,0,1,4,1,
"2,002",ALABAMA,Pickensville,668,18,,0,0,0,2,10,6,0,
"2,002",ALABAMA,Piedmont,"5,165",308,,0,4,4,3,69,219,9,
"2,002",ALABAMA,Pine Hill,975,38,,0,1,0,11,8,18,0,
"2,002",ALABAMA,Priceville,"1,645",25,,0,0,0,2,9,11,3,
"2,002",ALABAMA,Rainbow City,"8,502",327,,0,0,0,0,41,279,7,
"2,002",ALABAMA,Ranburne,463,20,,0,0,0,0,4,13,3,
"2,002",ALABAMA,Red Bay,"3,404",129,,0,1,0,14,23,86,5,
"2,002",ALABAMA,Red Level,561,10,10,0,0,2,1,2,2,3,0
"2,002",ALABAMA,Reform,"1,996",98,,0,1,0,3,33,59,2,
"2,002",ALABAMA,Roanoke,"6,621",285,,1,2,7,25,36,202,12,
"2,002",ALABAMA,Robertsdale,"3,816",127,,0,0,1,21,33,66,6,
"2,002",ALABAMA,Rogersville,"1,210",72,72,0,1,0,3,10,51,7,0
"2,002",ALABAMA,Russellville,"9,050",118,,0,0,5,6,33,71,3,
"2,002",ALABAMA,Samson,"2,089",52,,0,0,1,13,13,23,2,
"2,002",ALABAMA,Sardis City,"1,451",30,,0,0,0,0,3,27,0,
"2,002",ALABAMA,Satsuma,"5,738",84,84,0,1,0,2,18,59,4,0
"2,002",ALABAMA,Sheffield,"9,737",675,,0,5,12,7,132,515,4,
"2,002",ALABAMA,Shorter,358,45,,0,0,0,0,0,45,0,
"2,002",ALABAMA,Silas,534,6,,0,0,0,0,5,1,0,
"2,002",ALABAMA,Silverhill,621,51,,0,1,0,4,3,41,2,
"2,002",ALABAMA,Sipsey,557,10,,0,0,0,0,4,5,1,
"2,002",ALABAMA,Southside,"7,099",68,,0,0,1,2,14,49,2,
"2,002",ALABAMA,Spanish Fort,"5,471",112,,0,0,6,4,12,89,1,
"2,002",ALABAMA,Stevenson,"1,786",90,,0,0,0,28,16,39,7,
"2,002",ALABAMA,Sulligent,"2,171",64,64,0,0,2,5,15,39,3,0
"2,002",ALABAMA,Sumiton,"2,689",235,,0,1,3,10,29,165,27,
"2,002",ALABAMA,Summerdale,661,88,,0,1,1,1,21,61,3,
"2,002",ALABAMA,Tallassee,"4,978",502,,0,1,7,20,96,358,20,
"2,002",ALABAMA,Tarrant City,"7,084",571,,0,3,27,23,119,364,35,
"2,002",ALABAMA,Thomasville,"4,690",260,,0,3,4,20,39,192,2,
"2,002",ALABAMA,Town Creek,"1,227",37,,0,0,1,1,16,19,0,
"2,002",ALABAMA,Tuscumbia,"7,926",369,,0,0,3,1,53,306,6,
"2,002",ALABAMA,Union Springs,"3,703",8,,0,0,2,2,1,3,0,
"2,002",ALABAMA,Uniontown,"1,650",8,,0,0,1,3,1,3,0,
"2,002",ALABAMA,Vance,504,2,,0,0,0,0,1,1,0,
"2,002",ALABAMA,Wadley,646,4,,0,0,0,0,0,3,1,
"2,002",ALABAMA,Warrior,"3,198",3,,0,0,0,0,3,0,0,
"2,002",ALABAMA,Weaver,"2,642",178,,0,1,0,10,45,106,16,
"2,002",ALABAMA,Wedowee,825,0,,0,0,0,0,0,0,0,
"2,002",ALABAMA,West Blocton,"1,384",20,,0,0,1,0,5,13,1,
"2,002",ALABAMA,Wetumpka,"5,777",339,339,0,1,5,26,44,255,8,0
"2,002",ALABAMA,Winfield,"4,580",128,,0,0,0,8,27,78,15,
"2,002",ALABAMA,York,"2,879",87,,0,0,4,16,14,46,7,
"2,002",,,,,,,,,,,,,
"2,002",,,,,,,,,,,,,
"2,002",, ,,,,,,,,,,,
"2,002",ALASKA,Bethel,"5,618",301,303,0,10,9,68,44,89,81,2
"2,002",ALASKA,Bristol Bay Borough,"1,291",46,46,0,0,0,8,8,26,4,0
"2,002",ALASKA,Cordova,"2,520",40,40,0,0,0,15,6,17,2,0
"2,002",ALASKA,Craig,"1,435",53,53,0,0,0,16,9,25,3,0
"2,002",ALASKA,Haines,"1,859",102,102,0,0,1,2,7,90,2,0
"2,002",ALASKA,Homer,"4,052",289,290,0,0,0,38,39,186,26,1
"2,002",ALASKA,Kenai,"7,128",437,438,0,5,3,20,42,335,32,1
"2,002",ALASKA,Ketchikan,"8,135",655,661,1,20,3,34,63,480,54,6
"2,002",ALASKA,Klawock,877,0,0,0,0,0,0,0,0,0,0
"2,002",ALASKA,Kodiak,"6,505",293,295,0,0,0,8,29,241,15,2
"2,002",ALASKA,Nenana,413,73,73,0,0,1,12,23,25,12,0
"2,002",ALASKA,North Pole,"1,612",115,116,0,1,0,6,10,94,4,1
"2,002",ALASKA,North Slope Borough,"7,584",260,265,1,15,1,21,72,106,44,5
"2,002",ALASKA,Palmer,"4,654",340,343,0,0,1,29,43,249,18,3
"2,002",ALASKA,Petersburg,"3,310",150,152,0,0,0,25,10,109,6,2
"2,002",ALASKA,Seward,"2,906",235,235,0,1,0,11,45,166,12,0
"2,002",ALASKA,Sitka,"9,072",265,267,0,6,1,11,28,195,24,2
"2,002",ALASKA,Skagway,885,46,46,0,0,0,2,7,37,0,0
"2,002",ALASKA,Soldotna,"3,860",366,366,0,3,3,37,21,287,15,0
"2,002",ALASKA,St. Paul,547,15,15,0,0,2,5,2,4,2,0
"2,002",ALASKA,Unalaska,"4,398",99,99,0,0,1,4,14,55,25,0
"2,002",ALASKA,Valdez,"4,144",21,23,0,0,0,2,1,18,0,2
"2,002",ALASKA,Wasilla,"5,616",657,664,0,2,7,74,98,443,33,7
"2,002",ALASKA,Wrangell,"2,370",113,113,0,0,0,2,11,97,3,0
"2,002",,,,,,,,,,,,,
"2,002",,,,,,,,,,,,,
"2,002",,,,,,,,,,,,,
"2,002",ARIZONA,Benson,"5,010",184,184,0,0,3,4,30,125,22,0
