id,2010_gdp,2011_gdp,2012_gdp,2013_gdp,2014_gdp,2015_gdp,Aggravated_assault_2011,Aggravated_assault_2014,Aggravated_assault_2015,Aggravated_assault_2010,Aggravated_assault_2012,Aggravated_assault_2013,Arson_2010,Arson_2011,Arson_2012,Arson_2013,Arson_2014,Arson_2015,Burglary_2010,Burglary_2011,Burglary_2012,Burglary_2013,Burglary_2014,Burglary_2015,City,Forcible_rape_2011,Larceny_Theft_2010,Larceny_Theft_2012,Larceny_Theft_2013,Larceny_Theft_2014,Larceny_Theft_2011,Larceny_Theft_2015,Motor_vehicle_theft_2011,Motor_vehicle_theft_2014,Motor_vehicle_theft_2015,Motor_vehicle_theft_2010,Motor_vehicle_theft_2012,Motor_vehicle_theft_2013,Murder_Manslaughter_2010,Murder_Manslaughter_2012,Murder_Manslaughter_2013,Murder_Manslaughter_2014,Murder_Manslaughter_2015,Murder_Manslaughter_2011,Population_2010,Population_2011,Population_2012,Population_2013,Population_2014,Population_2015,Property_crime_2011,Property_crime_2014,Property_crime_2015,Property_crime_2010,Property_crime_2012,Property_crime_2013,Rape_legacy_2014,Rape_legacy_2015,Rape_2010,Rape_2012,Rape_2013,Rape_2014,Rape_2015,Rape_legacy_2013,Robbery_2010,Robbery_2011,Robbery_2012,Robbery_2013,Robbery_2014,Robbery_2015,State,Violent_crime_2011,Violent_crime_2014,Violent_crime_2015,Violent_crime_2010,Violent_crime_2012,Violent_crime_2013
1,5036.00,4997.00,5212.00,5333.00,5510.00,5418.00,119.00,80.00,92.00,117.00,149.00,106.00,,13.00,,,,,682.00,815.00,821.00,569.00,434.00,469.00,Decatur,19.00,1920.00,1964.00,1831.00,1883.00,1131.00,1754.00,163.00,134.00,143.00,149.00,128.00,153.00,4.00,2.00,5.00,0.00,5.00,3.00,57153.00,55951.00,56126.00,56091.00,55836.00,55483.00,2109.00,2451.00,2366.00,2751.00,2913.00,2553.00,,,17.00,9.00,12.00,7.00,17.00,,74.00,56.00,80.00,26.00,25.00,48.00,Alabama,197.00,112.00,162.00,212.00,240.00,149.00
2,4554.00,4556.00,4624.00,4778.00,4912.00,5113.00,213.00,,199.00,263.00,184.00,236.00,,0.00,,,,,1011.00,607.00,886.00,591.00,,461.00,Dothan,22.00,2034.00,1918.00,1802.00,,2014.00,1609.00,116.00,,101.00,91.00,130.00,109.00,1.00,5.00,4.00,,1.00,2.00,69134.00,65811.00,66275.00,67811.00,,68997.00,2737.00,,2171.00,3136.00,2934.00,2502.00,,,29.00,30.00,16.00,,10.00,,118.00,106.00,100.00,78.00,,64.00,Alabama,343.00,,274.00,411.00,319.00,334.00
3,2617.00,2717.00,2734.00,2717.00,2813.00,2887.00,193.00,235.00,249.00,173.00,225.00,267.00,22.00,18.00,,14.00,31.00,,681.00,768.00,835.00,830.00,733.00,499.00,Gadsden,25.00,1797.00,1969.00,1904.00,1879.00,1967.00,2048.00,238.00,194.00,177.00,142.00,196.00,200.00,5.00,1.00,6.00,3.00,3.00,5.00,36835.00,37033.00,36961.00,36610.00,36455.00,36148.00,2973.00,2806.00,2724.00,2620.00,3000.00,2934.00,,,30.00,33.00,47.00,31.00,32.00,,110.00,76.00,113.00,104.00,89.00,80.00,Alabama,299.00,358.00,364.00,318.00,372.00,424.00
4,21263.00,21784.00,22141.00,22552.00,23274.00,24248.00,1049.00,958.00,1023.00,631.00,1154.00,1005.00,21.00,23.00,20.00,,28.00,,2677.00,2677.00,2165.00,1884.00,1912.00,1761.00,Huntsville,51.00,6230.00,6386.00,6629.00,6521.00,6306.00,6219.00,766.00,728.00,763.00,861.00,710.00,703.00,12.00,14.00,24.00,15.00,18.00,13.00,183357.00,180972.00,183691.00,184738.00,187624.00,190106.00,9749.00,9161.00,8743.00,9768.00,9261.00,9216.00,,,76.00,72.00,87.00,104.00,132.00,,463.00,405.00,456.00,391.00,390.00,368.00,Alabama,1518.00,1467.00,1541.00,1182.00,1696.00,1507.00
5,15492.00,15798.00,16032.00,16342.00,16560.00,17041.00,284.00,526.00,578.00,316.00,283.00,,50.00,31.00,64.00,,,,3279.00,2885.00,3409.00,,2548.00,2342.00,Montgomery,38.00,7200.00,7548.00,,5817.00,7043.00,5280.00,816.00,660.00,741.00,781.00,1101.00,,25.00,44.00,,35.00,33.00,31.00,203966.00,206754.00,209018.00,,200194.00,199139.00,10744.00,9025.00,8363.00,11260.00,12058.00,,,,55.00,41.00,,35.00,40.00,,401.00,354.00,459.00,,450.00,391.00,Alabama,707.00,1046.00,1042.00,797.00,827.00,
6,9518.00,10134.00,10049.00,10567.00,10736.00,11008.00,196.00,228.00,308.00,221.00,267.00,221.00,6.00,20.00,,,,,1462.00,1249.00,1182.00,1165.00,1042.00,1132.00,Tuscaloosa,39.00,3188.00,2965.00,3196.00,2913.00,2963.00,2892.00,190.00,183.00,186.00,178.00,202.00,151.00,7.00,4.00,8.00,9.00,7.00,3.00,95570.00,90903.00,91973.00,94126.00,96412.00,97511.00,4402.00,4138.00,4210.00,4828.00,4349.00,4512.00,,,31.00,37.00,44.00,53.00,45.00,,190.00,194.00,170.00,161.00,176.00,200.00,Alabama,432.00,466.00,560.00,449.00,478.00,434.00
7,29028.00,30940.00,32263.00,31837.00,30972.00,28876.00,1628.00,1705.00,2062.00,1701.00,1673.00,1491.00,86.00,126.00,97.00,74.00,81.00,106.00,1223.00,1080.00,1158.00,1318.00,1375.00,1685.00,Anchorage,283.00,8178.00,8554.00,9845.00,9217.00,7750.00,8962.00,625.00,939.00,1154.00,813.00,831.00,869.00,13.00,15.00,14.00,12.00,26.00,12.00,290334.00,296955.00,299143.00,299455.00,301306.00,301239.00,9455.00,11531.00,11801.00,10214.00,10543.00,12032.00,,,264.00,303.00,408.00,392.00,517.00,,454.00,465.00,488.00,522.00,496.00,621.00,Alaska,2388.00,2605.00,3226.00,2432.00,2479.00,2435.00
8,5193.00,5424.00,5485.00,5377.00,5466.00,5441.00,125.00,119.00,118.00,181.00,100.00,142.00,4.00,5.00,3.00,4.00,1.00,7.00,149.00,130.00,130.00,116.00,155.00,149.00,Fairbanks,17.00,1117.00,1137.00,1050.00,969.00,1026.00,938.00,76.00,123.00,105.00,101.00,112.00,103.00,0.00,3.00,0.00,4.00,1.00,2.00,35989.00,32089.00,32423.00,32505.00,32477.00,32677.00,1232.00,1247.00,1192.00,1367.00,1379.00,1269.00,,,70.00,29.00,34.00,39.00,14.00,,33.00,33.00,37.00,37.00,52.00,24.00,Alaska,177.00,214.00,157.00,284.00,169.00,213.00
9,4842.00,4790.00,4850.00,5130.00,5274.00,5488.00,180.00,196.00,180.00,176.00,189.00,177.00,21.00,24.00,23.00,25.00,11.00,19.00,226.00,235.00,242.00,220.00,215.00,180.00,Flagstaff,45.00,2666.00,2533.00,2594.00,2722.00,2706.00,2418.00,67.00,83.00,56.00,63.00,59.00,55.00,5.00,0.00,1.00,3.00,0.00,0.00,58739.00,66802.00,66633.00,67963.00,69490.00,69471.00,3008.00,3020.00,2654.00,2955.00,2834.00,2869.00,,,37.00,28.00,,30.00,35.00,25.00,49.00,38.00,45.00,43.00,46.00,45.00,Arizona,263.00,275.00,260.00,267.00,262.00,246.00
10,4512.00,4439.00,4492.00,4688.00,4977.00,5127.00,142.00,121.00,109.00,111.00,133.00,106.00,8.00,6.00,9.00,4.00,5.00,5.00,221.00,260.00,197.00,182.00,179.00,140.00,Prescott,12.00,979.00,883.00,855.00,1004.00,960.00,884.00,38.00,46.00,37.00,51.00,24.00,48.00,0.00,2.00,0.00,0.00,4.00,4.00,41428.00,40407.00,40420.00,40752.00,40992.00,41393.00,1258.00,1229.00,1061.00,1251.00,1104.00,1085.00,,,11.00,14.00,,6.00,11.00,7.00,13.00,13.00,19.00,11.00,14.00,13.00,Arizona,171.00,141.00,137.00,135.00,168.00,124.00
