,State,City,Year,total_crime,crime_per_person,crime_change
1,Alabama,Decatur,2010.00,2963.00,0.05,-0.01
2,Alabama,Dothan,2010.00,3547.00,0.05,0.00
3,Alabama,Gadsden,2010.00,2938.00,0.08,0.01
4,Alabama,Huntsville,2010.00,10950.00,0.06,0.00
5,Alabama,Montgomery,2010.00,12057.00,0.06,0.00
6,Alabama,Tuscaloosa,2010.00,5277.00,0.06,0.00
7,Alaska,Anchorage,2010.00,12646.00,0.04,0.00
8,Alaska,Fairbanks,2010.00,1651.00,0.05,0.00
9,Arizona,Flagstaff,2010.00,3222.00,0.05,-0.01
10,Arizona,Prescott,2010.00,1386.00,0.03,0.00
11,Arizona,Tucson,2010.00,3331.00,0.01,0.00
12,Arizona,Yuma,2010.00,3610.00,0.04,0.00
13,Arkansas,Fort Smith,2010.00,5482.00,0.06,0.00
14,Arkansas,Hot Springs,2010.00,3526.00,0.09,0.00
15,Arkansas,Jonesboro,2010.00,3196.00,0.05,0.01
16,Arkansas,Pine Bluff,2010.00,4435.00,0.09,0.01
17,California,Bakersfield,2010.00,17301.00,0.05,0.00
18,California,Chico,2010.00,2592.00,0.03,0.00
19,California,El Centro,2010.00,2605.00,0.06,-0.01
20,California,Fresno,2010.00,27494.00,0.06,0.00
21,California,Madera,2010.00,1676.00,0.03,0.00
22,California,Merced,2010.00,3357.00,0.04,0.00
23,California,Modesto,2010.00,10781.00,0.05,0.00
24,California,Napa,2010.00,1802.00,0.02,0.00
25,California,Redding,2010.00,3830.00,0.04,0.00
26,California,Salinas,2010.00,5810.00,0.04,0.00
27,California,Santa Rosa,2010.00,4863.00,0.03,0.00
28,California,Yuba City,2010.00,1999.00,0.03,0.00
29,Colorado,Boulder,2010.00,2932.00,0.03,0.00
30,Colorado,Colorado Springs,2010.00,18751.00,0.05,-0.01
31,Colorado,Fort Collins,2010.00,4989.00,0.04,0.00
32,Colorado,Grand Junction,2010.00,2373.00,0.04,0.01
33,Colorado,Greeley,2010.00,3395.00,0.04,0.00
34,Colorado,Pueblo,2010.00,5857.00,0.06,0.00
35,Delaware,Dover,2010.00,2361.00,0.06,0.01
36,Florida,Gainesville,2010.00,6310.00,0.05,0.00
37,Florida,Jacksonville,2010.00,42893.00,0.05,0.00
38,Florida,Ocala,2010.00,3632.00,0.06,0.00
39,Florida,Panama City,2010.00,2700.00,0.07,0.00
40,Florida,Port St. Lucie,2010.00,3598.00,0.02,0.00
41,Florida,Punta Gorda,2010.00,403.00,0.02,0.00
42,Florida,Sebring,2010.00,521.00,0.05,0.00
43,Florida,Tallahassee,2010.00,10381.00,0.06,0.00
44,Georgia,Albany,2010.00,5759.00,0.08,-0.01
45,Georgia,Brunswick,2010.00,1656.00,0.10,-0.01
46,Georgia,Columbus,2010.00,14447.00,0.08,-0.01
47,Georgia,Dalton,2010.00,1258.00,0.04,0.00
48,Georgia,Gainesville,2010.00,1742.00,0.05,0.00
49,Georgia,Hinesville,2010.00,1809.00,0.06,-0.01
50,Georgia,Macon,2010.00,7985.00,0.09,0.00
51,Georgia,Rome,2010.00,2223.00,0.06,0.00
52,Georgia,Valdosta,2010.00,2903.00,0.06,-0.01
53,Georgia,Warner Robins,2010.00,3916.00,0.06,0.00
54,Idaho,Coeur d'Alene,2010.00,1833.00,0.04,NA
55,Idaho,Idaho Falls,2010.00,1764.00,0.03,0.00
56,Idaho,Lewiston,2010.00,1385.00,0.04,NA
57,Idaho,Pocatello,2010.00,1858.00,0.03,0.00
58,Illinois,Bloomington,2010.00,2345.00,0.03,0.00
59,Illinois,Danville,2010.00,2526.00,0.08,0.00
60,Illinois,Decatur,2010.00,3589.00,0.05,0.00
61,Illinois,Kankakee,2010.00,1377.00,0.05,0.00
62,Illinois,Peoria,2010.00,6041.00,0.05,0.00
63,Illinois,Rockford,2010.00,10077.00,0.06,0.00
64,Illinois,Springfield,2010.00,9019.00,0.08,0.00
65,Indiana,Bloomington,2010.00,3449.00,0.05,-0.01
66,Indiana,Columbus,2010.00,2347.00,0.06,0.00
67,Indiana,Evansville,2010.00,6037.00,0.05,0.00
68,Indiana,Fort Wayne,2010.00,9606.00,0.04,0.00
69,Indiana,Kokomo,2010.00,2532.00,0.06,0.00
