State,Population,total.Crime.,Year
Alabama,2368137.00,102429.00,2010.00
Alaska,470248.00,19595.00,2010.00
Arizona,4856365.00,174583.00,2010.00
Arkansas,1654464.00,87134.00,2010.00
California,30591410.00,965258.00,2010.00
Colorado,3444448.00,119146.00,2010.00
Connecticut,2885923.00,78724.00,2010.00
Delaware,235789.00,14169.00,2010.00
District of Columbia,601723.00,34606.00,2010.00
Florida,9106904.00,443358.00,2010.00
Georgia,3343710.00,182500.00,2010.00
Hawaii,950268.00,34216.00,2010.00
Idaho,918860.00,26147.00,2010.00
Illinois,8985550.00,174453.00,2010.00
Indiana,2674033.00,109381.00,2010.00
Iowa,1827065.00,63026.00,2010.00
Kansas,2028015.00,81721.00,2010.00
Kentucky,2193122.00,91751.00,2010.00
Louisiana,1608403.00,86189.00,2010.00
Maine,852315.00,25964.00,2010.00
Maryland,1281465.00,67416.00,2010.00
Massachusetts,6273048.00,170755.00,2010.00
Michigan,5926783.00,235334.00,2010.00
Minnesota,3476787.00,36231.00,2010.00
Mississippi,1148916.00,58793.00,2010.00
Missouri,3649261.00,181263.00,2010.00
Montana,386999.00,15303.00,2010.00
Nebraska,1230582.00,45724.00,2010.00
Nevada,2072673.00,75255.00,2010.00
New Hampshire,1152121.00,28191.00,2010.00
New Jersey,8439459.00,199672.00,2010.00
New Mexico,1297057.00,64316.00,2010.00
New York,13743740.00,353008.00,2010.00
North Carolina,4257811.00,217321.00,2010.00
North Dakota,401927.00,10136.00,2010.00
Ohio,6712698.00,288577.00,2010.00
Oklahoma,2681417.00,122970.00,2010.00
Oregon,2219522.00,89808.00,2010.00
Pennsylvania,9634610.00,270688.00,2010.00
Rhode Island,1046239.00,28869.00,2010.00
South Carolina,1523212.00,89558.00,2010.00
South Dakota,431150.00,12528.00,2010.00
Tennessee,3653974.00,201931.00,2010.00
Texas,18521004.00,876230.00,2010.00
Utah,2104995.00,76139.00,2010.00
Vermont,280582.00,7413.00,2010.00
Virginia,2929753.00,111861.00,2010.00
Washington,4056667.00,204914.00,2010.00
West Virginia,255724.00,7962.00,2010.00
Wisconsin,3517403.00,124845.00,2010.00
Wyoming,356656.00,11789.00,2010.00
Alabama,2727714.00,150847.00,2011.00
Alaska,462710.00,18336.00,2011.00
Arizona,4950924.00,185011.00,2011.00
Arkansas,1553371.00,89084.00,2011.00
California,31027912.00,951870.00,2011.00
Colorado,3499292.00,121287.00,2011.00
Connecticut,2935762.00,78495.00,2011.00
Delaware,249186.00,14039.00,2011.00
District of Columbia,617996.00,35297.00,2011.00
Florida,9174391.00,448354.00,2011.00
Georgia,3509139.00,185477.00,2011.00
Hawaii,0.00,0.00,2011.00
Idaho,848980.00,23159.00,2011.00
Illinois,9435674.00,184533.00,2011.00
Indiana,3622990.00,175311.00,2011.00
Iowa,1811497.00,65337.00,2011.00
Kansas,2054829.00,81601.00,2011.00
Kentucky,2267413.00,98666.00,2011.00
Louisiana,1604547.00,91376.00,2011.00
Maine,847250.00,26637.00,2011.00
Maryland,1296588.00,66172.00,2011.00
Massachusetts,6010685.00,160167.00,2011.00
Michigan,5762905.00,215948.00,2011.00
Minnesota,3723165.00,36729.00,2011.00
Mississippi,987782.00,50036.00,2011.00
Missouri,3703400.00,179751.00,2011.00
Montana,437908.00,17147.00,2011.00
Nebraska,1183019.00,46780.00,2011.00
Nevada,2110409.00,69854.00,2011.00
New Hampshire,1128098.00,29505.00,2011.00
New Jersey,8495867.00,205764.00,2011.00
New Mexico,1322223.00,67660.00,2011.00
New York,13670539.00,349623.00,2011.00
North Carolina,4461030.00,223094.00,2011.00
North Dakota,409050.00,11048.00,2011.00
Ohio,6703014.00,285057.00,2011.00
Oklahoma,2628569.00,122788.00,2011.00
Oregon,2558653.00,103934.00,2011.00
Pennsylvania,9303085.00,264854.00,2011.00
Rhode Island,867056.00,20222.00,2011.00
South Carolina,1372755.00,79399.00,2011.00
South Dakota,460127.00,12819.00,2011.00
Tennessee,3559406.00,197509.00,2011.00
Texas,18402060.00,821046.00,2011.00
Utah,2055656.00,69082.00,2011.00
Vermont,283785.00,8401.00,2011.00
Virginia,2940050.00,108145.00,2011.00
Washington,4118949.00,195978.00,2011.00
West Virginia,245273.00,10228.00,2011.00
Wisconsin,3727733.00,124823.00,2011.00
Wyoming,354142.00,11187.00,2011.00
Alabama,2573838.00,140956.00,2012.00
Alaska,471231.00,19671.00,2012.00
Arizona,5023526.00,179383.00,2012.00
Arkansas,1626483.00,91612.00,2012.00
California,31422355.00,1025342.00,2012.00
Colorado,3594074.00,128441.00,2012.00
Connecticut,3051583.00,80976.00,2012.00
Delaware,251944.00,14288.00,2012.00
District of Columbia,632323.00,36712.00,2012.00
Florida,9284683.00,428019.00,2012.00
Georgia,3604337.00,182217.00,2012.00
Hawaii,0.00,0.00,2012.00
Idaho,931789.00,26152.00,2012.00
Illinois,10099073.00,195322.00,2012.00
Indiana,3475889.00,164709.00,2012.00
Iowa,1813804.00,61314.00,2012.00
Kansas,2035453.00,82445.00,2012.00
Kentucky,2234943.00,92161.00,2012.00
Louisiana,1775458.00,94177.00,2012.00
Maine,848329.00,26747.00,2012.00
Maryland,1299020.00,64499.00,2012.00
Massachusetts,6191919.00,157655.00,2012.00
Michigan,5306556.00,196502.00,2012.00
